blockNumber,wd_min,wd_max,wd_difference
12082874,1790.4843,1791.0648,0.5805000000000291
12083138,1781.0158,1781.1979,0.18209999999999127
12083831,1785.334,1787.5709,2.2368999999998778
12084300,,,
12085007,1792.5001,1794.9852,2.4851000000001022
12085067,1784.1973,1785.2389,1.0416000000000167
12085440,1767.0567,1774.3086,7.251899999999978
12085488,1764.9526,1764.9526,0.0
12085900,,,
12086233,1779.2535,1779.2535,0.0
12086817,1786.8753,1787.2138,0.3385000000000673
12087579,,,
12087702,1778.1394,1778.571,0.4315999999998894
12087967,,,
12088026,1789.8956,1792.0449,2.1493000000000393
12088039,1795.8977,1798.6184,2.720700000000079
12088551,,,
12088677,,,
12088952,1774.3924,1774.4661,0.07370000000014443
12089677,1775.4928,1775.5946,0.10179999999991196
12089751,1766.1306,1767.7239,1.5932999999999993
12089853,1768.4633,1768.4633,0.0
12090008,1774.5669,1774.6425,0.07559999999989486
12090313,1771.2311,1771.2311,0.0
12090430,1766.8333,1766.8333,0.0
12090466,1750.1766,1754.2109,4.03430000000003
12090545,1743.3467,1745.1124,1.7656999999999243
12090616,1746.6538,1749.1643,2.5104999999998654
12090674,1727.1951,1742.2938,15.098700000000008
12090851,1725.4264,1734.1856,8.759199999999964
12090870,1691.3285,1700.2934,8.964899999999943
12090874,1691.3285,1694.8892,3.560699999999997
12090923,1685.1556,1692.7606,7.605000000000018
12091006,1685.3488,1687.9099,2.561100000000124
12091233,1663.5797,1673.8319,10.252199999999903
12091240,1663.5973,1663.7511,0.15380000000004657
12091273,1673.8421,1685.1449,11.302799999999934
12091285,1679.3491,1685.1449,5.795800000000099
12092118,,,
12092214,1700.6202,1704.0248,3.4045999999998457
12092552,1691.5083,1691.5119,0.0036000000000058208
12093189,1686.0663,1687.5414,1.4751000000001113
12093226,1672.2348,1672.2348,0.0
12093430,,,
12093887,1670.7384,1672.4987,1.760300000000143
12094156,1678.2429,1678.4219,0.1790000000000873
12094760,1689.4416,1689.4416,0.0
12095064,1697.7961,1702.0931,4.2970000000000255
12095450,1710.6769,1710.6769,0.0
12095751,1694.1636,1694.1931,0.029499999999870852
12096124,1703.7569,1703.7709,0.013999999999896318
12096224,1706.5307,1708.7414,2.210700000000088
12097001,1702.3618,1702.3618,0.0
12097365,1689.9158,1693.4241,3.508299999999963
12097392,1684.6526,1687.0931,2.4405000000001564
12097420,1675.3481,1675.5201,0.17200000000002547
12097519,1669.11,1670.8756,1.7656000000001768
12097875,1674.8505,1676.043,1.1924999999998818
12098315,1668.713,1670.4329,1.7199000000000524
12098374,1659.2218,1659.2218,0.0
12098622,1662.0538,1664.765,2.71120000000019
12098761,,,
12099236,1676.7638,1676.7836,0.019800000000032014
12099628,1679.0037,1679.2032,0.1994999999999436
12099929,1669.1764,1669.1764,0.0
12100006,1674.4482,1678.9078,4.459599999999909
12100025,1681.3952,1681.4275,0.03230000000007749
12100149,1689.2653,1691.4428,2.177500000000009
12100473,1709.1771,1709.2523,0.07519999999999527
12101447,1718.6097,1727.2473,8.63760000000002
12101458,1729.6808,1731.2702,1.5893999999998414
12101940,,,
12102613,1715.5654,1715.5845,0.019099999999980355
12102891,1701.1479,1701.2064,0.05850000000009459
12103136,1694.2808,1694.2808,0.0
12103262,1676.5697,1676.5716,0.0018999999999778083
12103386,1669.6837,1670.1494,0.4656999999999698
12103534,1634.7527,1639.1694,4.416699999999992
12103551,1632.689,1632.7978,0.1087999999999738
12103669,1615.7329,1623.3404,7.607500000000073
12103685,1606.0546,1613.5897,7.535100000000057
12103694,1606.1813,1608.3853,2.203999999999951
12103714,1617.284,1617.6103,0.3262999999999465
12103750,1588.6007,1602.6905,14.089799999999968
12103824,,,
12103852,1612.4438,1621.0369,8.59310000000005
12104173,1602.8008,1602.8008,0.0
12104243,1564.3843,1584.4861,20.10180000000014
12104243,1564.3843,1584.4861,20.10180000000014
12104257,1564.6768,1570.5885,5.91170000000011
12104308,1556.976,1564.0796,7.103599999999915
12104321,1568.1923,1568.4302,0.2379000000000815
12104344,1580.5425,1582.9585,2.41599999999994
12104367,1585.2609,1585.2609,0.0
12104557,1582.6194,1583.2279,0.6085000000000491
12104632,1589.279,1589.279,0.0
12104762,1574.3502,1581.5108,7.160599999999931
12104799,1585.2946,1589.0658,3.7712000000001353
12104925,1584.6099,1588.1041,3.4942000000000917
12105165,1573.4385,1574.9332,1.4946999999999662
12105253,1564.5754,1566.0583,1.4828999999999724
12105275,1554.3304,1557.9163,3.585900000000038
12105310,1558.3806,1558.3806,0.0
12105325,,,
12105386,1562.7977,1563.5972,0.7994999999998527
12105665,,,
12105897,1576.8409,1576.8409,0.0
12106153,1583.7329,1583.7502,0.017299999999977445
12106922,,,
12106959,1580.0638,1584.1414,4.077600000000075
12106990,1587.3671,1587.6958,0.3287000000000262
12107117,1598.2637,1598.6978,0.434099999999944
12107415,1604.533,1607.209,2.6760000000001583
12107717,,,
12107917,1608.1388,1608.1388,0.0
12107955,1597.6686,1597.7545,0.08590000000003783
12108020,1572.8325,1581.7291,8.896600000000035
12108029,1572.8325,1572.8325,0.0
12108085,1562.4016,1563.072,0.6703999999999724
